[14:50:26] ###LOG START###
[14:51:43] Kernel Time: 22.701471ms
[14:51:43] Kernel Time: 22.701920ms
[14:51:43] Kernel Time: 22.704351ms
[14:51:43] Kernel Time: 22.706335ms
[14:51:43] Kernel Time: 22.706720ms
[14:51:43] Kernel Time: 22.704832ms
[14:51:43] Kernel Time: 22.704063ms
[14:51:43] Kernel Time: 22.708223ms
[14:51:43] Kernel Time: 22.704832ms
[14:51:43] Kernel Time: 20.386368ms
[14:51:43] Kernel Time: 20.387745ms
[14:51:43] Kernel Time: 20.392672ms
[14:51:43] Kernel Time: 20.385376ms
[14:51:43] Kernel Time: 20.385504ms
[14:51:43] Kernel Time: 20.388033ms
[14:51:44] Kernel Time: 18.870880ms
[14:51:44] Kernel Time: 18.874687ms
[14:51:44] Kernel Time: 18.873568ms
[14:51:44] Kernel Time: 18.869152ms
[14:51:44] Kernel Time: 18.869633ms
[14:51:44] Kernel Time: 18.869505ms
[14:51:44] Kernel Time: 18.870943ms
[14:51:44] Kernel Time: 18.874208ms
[14:51:44] Kernel Time: 18.874304ms
[14:51:44] Kernel Time: 18.873695ms
[14:51:44] Kernel Time: 18.872480ms
[14:51:44] Kernel Time: 18.874081ms
[14:51:44] Kernel Time: 18.872896ms
[14:51:44] Kernel Time: 18.871744ms
[14:51:44] Kernel Time: 18.872864ms
[14:51:44] Kernel Time: 18.870687ms
[14:51:44] Kernel Time: 18.872383ms
[14:51:44] Kernel Time: 18.873760ms
[14:51:44] Kernel Time: 18.873535ms
[14:51:44] Kernel Time: 18.872801ms
[14:51:44] Kernel Time: 18.872065ms
[14:51:44] Kernel Time: 18.877151ms
[14:51:44] Kernel Time: 18.873695ms
[14:51:44] Kernel Time: 18.875135ms
[14:51:44] Kernel Time: 18.872480ms
[14:51:44] Kernel Time: 18.874208ms
[14:51:44] Kernel Time: 18.875135ms
[14:51:44] Kernel Time: 18.870848ms
[14:51:44] Kernel Time: 18.875072ms
[14:51:44] Kernel Time: 18.873728ms
[14:51:44] Kernel Time: 18.875999ms
[14:51:44] Kernel Time: 18.872959ms
[14:51:44] Kernel Time: 18.880640ms
[14:51:44] Kernel Time: 18.878080ms
[14:51:44] Kernel Time: 18.874912ms
[14:51:44] Kernel Time: 18.877632ms
[14:51:44] Kernel Time: 18.876257ms
[14:51:44] Kernel Time: 18.876257ms
[14:51:45] Kernel Time: 18.876673ms
[14:51:45] Kernel Time: 18.878401ms
[14:51:45] Kernel Time: 18.877825ms
[14:51:45] Kernel Time: 18.876896ms
[14:51:45] Kernel Time: 18.878048ms
[14:51:45] Kernel Time: 18.878977ms
[14:51:45] Kernel Time: 18.880768ms
[14:51:45] Kernel Time: 18.879232ms
[14:51:45] Kernel Time: 18.878304ms
[14:51:45] Kernel Time: 18.880159ms
[14:51:45] Kernel Time: 18.879681ms
[14:51:45] Kernel Time: 18.881697ms
[14:51:45] Kernel Time: 18.881569ms
[14:51:45] Kernel Time: 18.879711ms
[14:51:45] Kernel Time: 18.877377ms
[14:51:45] Kernel Time: 18.879007ms
[14:51:45] Kernel Time: 18.882401ms
[14:51:45] Kernel Time: 18.879711ms
[14:51:45] Kernel Time: 18.882015ms
[14:51:45] Kernel Time: 18.880192ms
[14:51:45] Kernel Time: 18.879456ms
[14:51:45] Kernel Time: 18.880575ms
[14:51:45] Kernel Time: 18.878880ms
[14:51:45] Kernel Time: 18.880705ms
[14:51:45] Kernel Time: 18.874336ms
[14:51:45] Kernel Time: 18.875168ms
[14:51:45] Kernel Time: 18.874208ms
[14:51:45] Kernel Time: 18.873472ms
[14:51:45] Kernel Time: 18.877537ms
[14:51:45] Kernel Time: 18.878304ms
[14:51:45] Kernel Time: 18.879423ms
[14:51:45] Kernel Time: 18.884064ms
[14:51:45] Kernel Time: 18.880993ms
[14:51:45] Kernel Time: 18.882273ms
[14:51:45] Kernel Time: 18.881088ms
[14:51:45] Kernel Time: 18.881985ms
[14:51:45] Kernel Time: 18.883713ms
[14:51:45] Kernel Time: 18.882048ms
[14:51:45] Kernel Time: 18.881311ms
[14:51:46] Kernel Time: 18.878977ms
[14:51:46] Kernel Time: 18.878368ms
[14:51:46] Kernel Time: 18.876032ms
[14:51:46] Kernel Time: 18.878529ms
[14:51:46] Kernel Time: 18.882080ms
[14:51:46] Kernel Time: 18.883137ms
[14:51:46] Kernel Time: 18.880960ms
[14:51:46] Kernel Time: 18.878944ms
[14:51:46] Kernel Time: 18.881824ms
[14:51:46] Kernel Time: 18.882496ms
[14:51:46] Kernel Time: 18.879007ms
[14:51:46] Kernel Time: 18.882721ms
[14:51:46] Kernel Time: 18.881664ms
[14:51:46] Kernel Time: 18.882849ms
[14:51:46] Kernel Time: 18.879135ms
[14:51:46] Kernel Time: 18.876448ms
[14:51:46] Kernel Time: 18.879393ms
[14:51:46] Kernel Time: 18.881344ms
[14:51:46] Kernel Time: 18.881409ms
[14:51:46] Kernel Time: 18.881792ms
[14:51:46] Kernel Time: 18.880640ms
[14:51:46] Kernel Time: 18.878336ms
[14:51:46] Kernel Time: 18.880705ms
[14:51:46] Kernel Time: 18.882784ms
[14:51:46] Kernel Time: 18.883327ms
[14:51:46] Kernel Time: 18.882368ms
[14:51:46] Kernel Time: 18.881121ms
[14:51:46] Kernel Time: 18.878431ms
[14:51:46] Kernel Time: 18.874624ms
[14:51:46] Kernel Time: 18.872353ms
[14:51:46] Kernel Time: 18.876385ms
[14:51:46] Kernel Time: 18.876385ms
[14:51:46] Kernel Time: 18.880928ms
[14:51:46] Kernel Time: 18.877953ms
[14:51:46] Kernel Time: 18.879265ms
[14:51:46] Kernel Time: 18.877728ms
[14:51:46] Kernel Time: 18.884640ms
[14:51:47] Kernel Time: 18.882496ms
[14:51:47] Kernel Time: 18.881248ms
[14:51:47] Kernel Time: 18.882240ms
[14:51:47] Kernel Time: 18.882336ms
[14:51:47] Kernel Time: 18.884064ms
[14:51:47] Kernel Time: 18.886433ms
[14:51:47] Kernel Time: 18.883295ms
[14:51:47] Kernel Time: 18.883327ms
[14:51:47] Kernel Time: 18.881056ms
[14:51:47] Kernel Time: 18.881952ms
[14:51:47] Kernel Time: 18.883104ms
[14:51:47] Kernel Time: 18.877792ms
[14:51:47] Kernel Time: 18.881121ms
[14:51:47] Kernel Time: 18.878977ms
[14:51:47] Kernel Time: 18.881920ms
[14:51:47] Kernel Time: 18.879871ms
[14:51:47] Kernel Time: 18.880705ms
[14:51:47] Kernel Time: 18.881248ms
[14:51:47] Kernel Time: 18.881376ms
[14:51:47] Kernel Time: 18.877216ms
[14:51:47] Kernel Time: 18.880320ms
[14:51:47] Kernel Time: 18.881632ms
[14:51:47] Kernel Time: 18.880417ms
[14:51:47] Kernel Time: 18.880512ms
[14:51:47] Kernel Time: 18.879744ms
[14:51:47] Kernel Time: 18.879265ms
[14:51:47] Kernel Time: 18.880287ms
[14:51:47] Kernel Time: 18.882751ms
